Date,0
2025-10-29,ESZ5
2025-10-30,ESZ5
2025-10-31,ESZ5
2025-11-03,ESZ5
2025-11-04,ESZ5
2025-11-05,ESZ5
2025-11-06,ESZ5
2025-11-07,ESZ5
2025-11-10,ESZ5
2025-11-11,ESZ5
2025-11-12,ESZ5
2025-11-13,ESZ5
2025-11-14,ESZ5
2025-11-17,ESZ5
2025-11-18,ESZ5
2025-11-19,ESZ5
2025-11-20,ESZ5
2025-11-21,ESZ5
2025-11-24,ESZ5
2025-11-25,ESZ5
2025-11-26,ESZ5
2025-11-28,ESZ5
2025-12-01,ESZ5
2025-12-02,ESZ5
2025-12-03,ESZ5
2025-12-04,ESZ5
2025-12-05,ESZ5
2025-12-08,ESZ5
2025-12-09,ESZ5
2025-12-10,ESZ5
2025-12-11,ESZ5
2025-12-12,ESZ5
2025-12-15,ESZ5
2025-12-16,ESH6
2025-12-17,ESH6
2025-12-18,ESH6
2025-12-19,ESH6
2025-12-22,ESH6
2025-12-23,ESH6
2025-12-24,ESH6
2025-12-26,ESH6
2025-12-29,ESH6
2025-12-30,ESH6
2025-12-31,ESH6
2026-01-02,ESH6
2026-01-05,ESH6
2026-01-06,ESH6
2026-01-07,ESH6
2026-01-08,ESH6
2026-01-09,ESH6
2026-01-12,ESH6
2026-01-13,ESH6
2026-01-14,ESH6
2026-01-15,ESH6
2026-01-16,ESH6
2026-01-20,ESH6
2026-01-21,ESH6
2026-01-22,ESH6
2026-01-23,ESH6
2026-01-26,ESH6
2026-01-27,ESH6
2026-01-28,ESH6
2026-01-29,ESH6
2026-01-30,ESH6
2026-02-02,ESH6
2026-02-03,ESH6
2026-02-04,ESH6
2026-02-05,ESH6
2026-02-06,ESH6
2026-02-09,ESH6
2026-02-10,ESH6
2026-02-11,ESH6
2026-02-12,ESH6
2026-02-13,ESH6
2026-02-17,ESH6
2026-02-18,ESH6
2026-02-19,ESH6
2026-02-20,ESH6
2026-02-23,ESH6
2026-02-24,ESH6
2026-02-25,ESH6
2026-02-26,ESH6
2026-02-27,ESH6
2026-03-02,ESH6
2026-03-03,ESH6
2026-03-04,ESH6
2026-03-05,ESH6
2026-03-06,ESH6
2026-03-09,ESH6
2026-03-10,ESH6
2026-03-11,ESH6
2026-03-12,ESH6
2026-03-13,ESH6
2026-03-16,ESH6
2026-03-17,ESH6
2026-03-18,ESH6
2026-03-19,ESH6
2026-03-20,ESH6
