Date,port_pnl
2024-07-12,396152.24083215
2024-07-15,902308.2044738829
2024-07-16,-35673.51523596048
2024-07-17,-2892344.6917896867
2024-07-18,-1023378.145516783
2024-07-19,-1561330.5906576812
2024-07-22,2636352.928330004
2024-07-23,-293915.6141875684
2024-07-24,-6918199.086547822
2024-07-25,-960310.2140959203
2024-07-26,1740722.9112833738
2024-07-29,889534.56555897
2024-07-30,-1338464.7737657726
2024-07-31,3415292.9618670344
2024-08-01,-2080129.1872788966
2024-08-02,-3616525.687576622
2024-08-05,-5910939.996917427
2024-08-06,1630150.6783704162
2024-08-07,-1443414.4114076197
2024-08-08,3732811.5524656773
2024-08-09,1114285.470576048
2024-08-12,350017.24812170863
2024-08-13,3289319.15582639
2024-08-14,-274622.1416131556
2024-08-15,3701860.87524572
2024-08-16,449428.45168569684
2024-08-19,1949021.768201977
2024-08-20,-184730.01017150283
2024-08-21,688228.2286678255
2024-08-22,-2475526.383844584
2024-08-23,2144446.3136574924
2024-08-26,-1164504.996639341
2024-08-27,-241529.76477837563
2024-08-28,-1250486.9069218636
2024-08-29,-188530.2284269333
2024-08-30,2315436.2955760956
2024-09-03,-3809559.43397519
2024-09-04,-21093.367840975523
2024-09-05,1216766.8674917817
2024-09-06,-4614259.817908376
2024-09-09,2344450.1992757022
2024-09-10,862326.586758852
2024-09-11,2746660.48154518
2024-09-12,1662746.5038924515
2024-09-13,391167.5419102311
2024-09-16,-181861.53035777807
2024-09-17,681654.0387842357
2024-09-18,-580687.9592166245
2024-09-19,3935643.2677681744
2024-09-20,-520635.57496216893
2024-09-23,954707.291977793
2024-09-24,-85567.13011458516
2024-09-25,1710.4869309961796
2024-09-26,119735.2825101912
2024-09-27,53062.74304923415
2024-09-30,852691.5440256298
2024-10-01,-1777543.976297319
2024-10-02,-785075.3897165656
2024-10-03,-315294.68924862146
2024-10-04,2583653.1408621073
2024-10-07,-2533779.075557679
2024-10-08,2102058.336317271
2024-10-09,467785.258400321
2024-10-10,-48108.95509287715
2024-10-11,-211276.5930004716
2024-10-14,1128853.6877767146
2024-10-15,-405814.83751511574
2024-10-16,658114.7572388649
2024-10-17,255950.40793323517
2024-10-18,722224.8814995289
2024-10-21,95654.70206007361
2024-10-22,640368.9249054193
2024-10-23,-2452137.4388557673
2024-10-24,4005407.501675397
2024-10-25,918038.125092715
2024-10-28,368419.94160208106
2024-10-29,628326.6072044969
2024-10-30,712486.8738915622
2024-10-31,-4751624.836063802
2024-11-01,1470997.8053155243
2024-11-04,-1492205.41568622
2024-11-05,2330681.783135563
2024-11-06,7831807.227946281
2024-11-07,1884610.1073538363
2024-11-08,755600.3963962197
2024-11-11,1158557.248974055
2024-11-12,-462535.6689738035
2024-11-13,219445.30997434258
2024-11-14,-1543547.8130882978
2024-11-15,-2059770.0659021437
2024-11-18,1526820.875622809
2024-11-19,1831031.9970955253
2024-11-20,-1070819.564246565
2024-11-21,-777551.7722433805
2024-11-22,87272.28039231896
2024-11-25,141187.46118450165
2024-11-26,1610016.649016291
2024-11-27,-796977.7622501552
2024-11-29,1603986.6616643667
2024-12-02,2169575.2886675596
2024-12-03,443866.7790506482
2024-12-04,1548560.951896131
2024-12-05,702600.1481427848
2024-12-06,2219819.6434175074
2024-12-09,-764075.0392585099
2024-12-10,1311951.3528038263
2024-12-11,3688032.8324372172
2024-12-12,-1163968.3628216684
2024-12-13,-400944.85473036766
2024-12-16,2307708.9714567363
2024-12-17,779533.8890978396
2024-12-18,-6892216.095948398
2024-12-19,796554.698402077
2024-12-20,1061225.3451952338
2024-12-23,2141842.398698181
2024-12-24,3333107.9167034626
2024-12-26,-715730.9926103652
2024-12-27,-3105892.8680814505
2024-12-30,-2355711.5364359617
2024-12-31,-1686621.5578404367
2025-01-02,-858314.3037216067
2025-01-03,3703528.182852745
2025-01-06,2412228.2701579332
2025-01-07,-3074671.2718383074
2025-01-08,-689684.7866940498
2025-01-10,-2227728.257998377
2025-01-13,3860.3152998387814
2025-01-14,-920703.6127224565
2025-01-15,5751441.715577334
2025-01-16,-2031923.232236594
2025-01-17,2813910.985376686
2025-01-21,1122272.7840804756
2025-01-22,1620010.000224501
2025-01-23,1027010.6331398487
2025-01-24,-524220.2594676912
2025-01-27,-2919147.555705726
2025-01-28,3923457.217844397
2025-01-29,-1286270.1934636235
2025-01-30,794286.127337873
2025-01-31,-252987.18739831448
2025-02-03,-2397342.005992979
2025-02-04,2628570.776744783
2025-02-05,-1003745.2378500402
2025-02-06,1278662.963777542
2025-02-07,-2798498.576438129
2025-02-10,651492.778723985
2025-02-11,-533319.1031244397
2025-02-12,93982.41463372111
2025-02-13,3298932.7855714858
2025-02-14,435180.7689884901
2025-02-18,-446301.5898489356
2025-02-19,683237.1124536991
2025-02-20,-1656704.2404496074
2025-02-21,-3590059.971402049
2025-02-24,-1936125.4946528077
2025-02-25,-3119988.908881724
2025-02-26,-495935.3272410333
2025-02-27,-3864576.0375258327
2025-02-28,3808114.581617564
2025-03-03,-4435236.936051965
2025-03-04,-2242196.789393842
2025-03-05,2485977.106243521
2025-03-06,-4711293.433163404
2025-03-07,226651.59615266323
2025-03-10,-8232222.316441208
2025-03-11,-229143.22554203868
2025-03-12,2851764.9980393946
2025-03-13,-3549110.965777248
2025-03-14,4272975.617174894
2025-03-17,-1269846.2779263556
2025-03-18,-2988989.45814237
2025-03-19,2637289.1218467355
